"guid","notam","timestamp","timestamp_expire","type","code_type","facility","city","state","landarea","code_timezone","date_issued","date_effective","date_expire","description","purpose","notam_fulltext"
"b8817f87-4e8f-4882-b21b-7065fb1c25e1","7_8316",2017092020,2017092116,"HAZARDS","91.137(a)(1)","ZAB","GALLUP","NM",,"UTC","2017-09-20T19:16:00","2017-09-21T13:30:00","2017-09-21T15:30:00","GALLUP, NM, Thursday, September 21, 2017 UTC   New",,"!FDC 7/8316 ZAB NM..AIRSPACE GALLUP, NM..TEMPORARY FLIGHT RESTRICTIONS WI AN AREA DEFINED AS 2 NM RADIUS OF 352610N1083713W (GALLUP VORTAC GUP087012.6) SFC-11000FT EXPLOSIVE DEMOLITION. PURSUANT TO 14 CFR SECTION 91.137(A)(1) TEMPORARY FLIGHT RESTRICTIONS ARE IN EFFECT. ONLY RELIEF ACFT OPS UNDER DIRECTION OF ARMY CORPS OF ENGINEERS ARE AUTH IN THE AIRSPACE. ARMY CORPS OF ENGINEERS TELEPHONE 313-310-3771 IS IN CHARGE OF ON SCENE EMERG RESPONSE ACT. ALBUQUERQUE /ZAB/ ARTCC TELEPHONE 505-856-4591 IS THE FAA COORDINATION FACILITY. EFFECTIVE 1709211330 UTC UNTIL 1709211530 UTC. 1709211330-1709211530"
"bacaada1-8820-4cd1-87d4-6c4523518cf2","7_8157",2017092020,2017092100,"HAZARDS","91.137(a)(2)","ZLA","7NM SW OF OLANCHA","CA",,"UTC","2017-09-20T18:34:00","2017-09-20T19:00:00","2017-11-20T10:00:00","7NM SW OF OLANCHA, CA, Wednesday, September 20, 2017 through Monday, November 20, 2017 UTC   New","TO PROVIDE A SAFE ENVIRONMENT FOR FIRE FIGHTING ACFT OPS","!FDC 7/8157 ZLA CA..AIRSPACE 7NM SW OF OLANCHA, CA..TEMPORARY FLIGHT RESTRICTIONS WI AN AREA DEFINED AS 5 NM RADIUS OF 361255N1180459W (TULE VOR/DME TTE052049.1) SFC-12000FT. TO PROVIDE A SAFE ENVIRONMENT FOR FIRE FIGHTING ACFT OPS. PURSUANT TO 14 CFR SECTION 91.137(A)(2) TEMPORARY FLIGHT RESTRICTIONS ARE IN EFFECT. OWENS VALLEY COM CENTER TELEPHONE 760-873-2488 OR FREQ 135.575/BARS FIRE IS IN CHARGE OF THE OPERATION. LOS ANGELES /ZLA/ ARTCC TELEPHONE 661-265-8205 IS THE FAA COORDINATION FACILITY. EFFECTIVE 1709201900 UTC UNTIL 1711201000 UTC. 1709201900-1711201000"
"a9f9fe95-c284-49a4-81ba-7619b271c17d","7_8088",2017092020,2017092106,"HAZARDS","91.137(a)(2)","ZDV","40 NM EAST OF PAGE","AZ",,"UTC","2017-09-20T18:07:00","2017-09-20T18:30:00","2017-09-21T05:00:00","40 NM EAST OF PAGE, AZ, Wednesday, September 20, 2017 through Thursday, September 21, 2017 UTC   New","TO PROVIDE A SAFE ENVIRONMENT FOR FIRE FIGHTING AVIATION OPERATIONS","!FDC 7/8088 ZDV UT..AIRSPACE 40 NM EAST OF PAGE, AZ..TEMPORARY FLIGHT RESTRICTIONS WI AN AREA BOUNDED BY 370541N/1105630W (PAGE VOR/DME PGA055026.2) TO 370504N/1104905W (PAGE VOR/DME PGA060031.6) TO 370015N/1104623W (PAGE VOR/DME PGA069032.7) TO 365922N/1104638W (PAGE VOR/DME PGA071032.4) TO 370347N/1105847W (PAGE VOR/DME PGA058023.8) TO 370354N/1105546W (PAGE VOR/DME PGA059026.2) TO 370541N/1105630W (PAGE VOR/DME PGA055026.2) BACK TO THE ORIGINAL POINT SFC-13000FT . TO PROVIDE A SAFE ENVIRONMENT FOR FIRE FIGHTING AVIATION OPERATIONS. PURSUANT TO 14 CFR SECTION 91.137(A)(2) TEMPORARY FLIGHT RESTRICTIONS ARE IN EFFECT. SOUTHWEST COORDINATION CENTER TELEPHONE 505-842-3473 OR FREQ 135.650/NAVAJO MOUNTAIN 1 FIRE IS IN CHARGE OF THE OPERATION. DENVER /ZDV/ ARTCC TELEPHONE 303-651-4248 IS THE FAA COORDINATION FACILITY. EFFECTIVE 1709201830 UTC UNTIL 1709210500 UTC. 1709201830-1709210500"
"3e68d445-29b0-49c3-a13a-22291f881e23","7_8086",2017092020,2017092208,"HAZARDS","91.137(a)(1)","ZAN","GULKANA","AK",,"UTC","2017-09-20T18:06:00","2017-09-21T16:30:00","2017-09-22T07:30:00","GULKANA, AK, Thursday, September 21, 2017 through Friday, September 22, 2017 UTC   New",,"!FDC 7/8086 ZAN AK..AIRSPACE GULKANA, AK..TEMPORARY FLIGHT RESTRICTION WI AREA DEFINED AS 2.5 NM RADIUS OF 622333N/1450902W (GULKANA VOR/DME GKN007016.6) SFC-FL250 FOR ELECTROMAGNETIC RADIATION FROM SCIENTIFIC RESEARCH. PURSUANT TO 14 CFR SECTION 91.137(A)(1) TEMPORARY FLIGHT RESTRICTIONS ARE IN EFFECT. HAARP COMMAND CENTER, TELEPHONE 907-822-5497 OR FREQ 122.25. ANCHORAGE ARTCC/ZAN/907-269-1103 IS THE FAA COORDINATION FACILITY. 1709211630-1709220730EST"
"a5213e78-f65e-452e-bc28-89740f9d6425","7_8084",2017092020,2017092216,"HAZARDS","91.137(a)(1)","ZAN","GULKANA","AK",,"UTC","2017-09-20T18:05:00","2017-09-22T20:00:00","2017-09-26T07:30:00","GULKANA, AK, Friday, September 22, 2017 through Tuesday, September 26, 2017 UTC   New",,"!FDC 7/8084 ZAN AK..AIRSPACE GULKANA, AK..TEMPORARY FLIGHT RESTRICTION WI AREA DEFINED AS 2.5 NM RADIUS OF 622333N/1450902W (GULKANA VOR/DME GKN007016.6) SFC-FL250 FOR ELECTROMAGNETIC RADIATION FROM SCIENTIFIC RESEARCH. PURSUANT TO 14 CFR SECTION 91.137(A)(1) TEMPORARY FLIGHT RESTRICTIONS ARE IN EFFECT. HAARP COMMAND CENTER, TELEPHONE 907-822-5497 OR FREQ 122.25. ANCHORAGE ARTCC/ZAN/907-269-1103 IS THE FAA COORDINATION FACILITY. DLY 2000-0730 1709222000-1709260730EST"
"00dd8754-82a0-4381-ac13-12171702ba41","7_6983",2017092020,,"AIR SHOWS/SPORTS","91.145","ZJX","EASTMAN","GA",,"UTC","2017-09-19T20:57:00","2017-09-29T16:00:00","2017-09-30T20:00:00","EASTMAN, GA, Friday, September 29, 2017 through Saturday, September 30, 2017 UTC   New","the Heart of Georgia Air Show aerial demonstrations","!FDC 7/6983 ZJX GA..AIRSPACE EASTMAN, GA..TEMPORARY FLIGHT RESTRICTION. PURSUANT TO 14 CFR SECTION 91.145, MANAGEMENT OF ACFT OPS IN THE VCY OF AERIAL DEMONSTRATIONS AND MAJOR SPORTING EVENTS, ACFT OPS ARE PROHIBITED WI AN AREA DEFINED AS 3NM RADIUS OF 321259N0830743W (VNA088018.8) SFC-13500FT UNLESS AUTH BY ATC.      EFFECTIVE 1709291600 UTC UNTIL 1709292000 UTC, AND                 1709301600 UTC UNTIL 1709302000 UTC.   DUE TO THE HEART OF GEORGIA AIR SHOW AERIAL DEMONSTRATIONS. JON PAWELKOP, PHONE 813-679-6804, IS THE AIRSHOW POINT OF CONTACT. HEART OF GEORGA /EZM/ ATCT, PHONE 478-448-4713, IS THE FAA COORDINATION FACILITY.  1709291600-1709302000"
"51fd2b9d-a799-48af-a3e4-994ab4a8a8f5","7_6972",2017092020,2017092205,"HAZARDS","91.137(a)(2)","ZLA","EAST OF SPRINGVILLE","CA",,"UTC","2017-09-19T20:10:00","2017-09-19T19:40:00","2017-12-19T12:38:00","EAST OF SPRINGVILLE, CA, Tuesday, September 19, 2017 through Tuesday, December 19, 2017 UTC   New","TO PROVIDE A SAFE ENVIRONMENT FOR FIRE FIGHTING FOR AERIAL OPERATIONS","!FDC 7/6972 ZLA CA..AIRSPACE EAST OF SPRINGVILLE, CALIFORNIA..TEMPORARY FLIGHT RESTRICTIONS WI AN AREA BOUNDED BY 361000N/1184900W (TULE VOR/DME TTE017018.2) TO 361300N/1183600W (TULE VOR/DME TTE032027.4) TO 360400N/1183600W (TULE VOR/DME TTE050022.5) TO 360100N/1184800W (TULE VOR/DME TTE044012.4) BACK TO THE ORIGINAL POINT SFC-8000FT . TO PROVIDE A SAFE ENVIRONMENT FOR FIRE FIGHTING FOR AERIAL OPERATIONS. PURSUANT TO 14 CFR SECTION 91.137(A)(2) TEMPORARY FLIGHT RESTRICTIONS ARE IN EFFECT. SEQUOIA NATIONAL FOREST TELEPHONE 559-781-5780 OR FREQ 125.525/THE PIER FIRE IS IN CHARGE OF THE OPERATION. LOS ANGELES /ZLA/ ARTCC TELEPHONE 661-265-8205 IS THE FAA COORDINATION FACILITY. EFFECTIVE 1709191940 UTC UNTIL 1712191238 UTC. 1709191940-1712191238EST"
"67aa4d78-194d-4e76-a5ff-7c4778434edc","7_6729",2017092020,2017092322,"AIR SHOWS/SPORTS","91.145","ZFW","terrell","TX",,"UTC","2017-09-19T17:25:00","2017-09-23T20:00:00","2017-09-23T21:00:00","terrell, TX, Saturday, September 23, 2017 UTC","Due to aerial demonstration at the Terrell, texas airshow","!FDC 7/6729 ZFW TX..AIRSPACE TERRELL, TX..TEMPORARY FLIGHT  RESTRICTION.         PURSUANT TO 14 CFR SECTION 91.145, MANAGEMENT OF AIRCRAFT  OPERATIONS IN THE VCY OF AERIAL DEMONSTRATIONS AND MAJOR SPORTING EVENTS, ACFT OPS ARE PROHIBITED WI AN AREA DEFINED AS 5 NM RADIUS OF 324217N0961558W (CQY350031.2) SFC-10000FT MSL      EFFECTIVE 1709232000 UTC UNTIL 1709232100 UTC.   DUE TO AERIAL DEMONSTRATION AT THE TERRELL, TEXAS AIRSHOW. UNLESS AUTH BY ATC. CHET KRUSHEFSKI, PHONE 512-947-8321, IS THE POINT OF CONTACT. THE FORT WORTH /ZFW/ ARTCC, PHONE 817-858-7551, IS THE FAA COORDINATION FACILITY. 1709232000-1709232100"
"cfe3ed56-5783-4a59-bc76-12e34965ae50","7_6669",2017092020,2017092508,"SECURITY","99.7","ZAB","Libby AAF","AZ",,"MST","2017-09-19T16:32:00","2017-09-25T02:15:00","2017-09-25T07:00:00","Libby AAF, AZ, Sunday, September 24, 2017 Local",,"!FDC 7/6669 ZAB PART 1 OF 2 AZ..AIRSPACE LIBBY AAF, AZ..TEMPORARY  FLIGHT RESTRICTIONS.         SEPTEMBER 24-25, 2017 LOCAL.  PURSUANT TO 49 USC 40103(B),  THE FEDERAL AVIATION ADMINISTRATION (FAA) CLASSIFIES THE AIRSPACE  DEFINED IN THIS NOTAM AS 'NATIONAL DEFENSE AIRSPACE'. ANY PERSON  WHO KNOWINGLY OR WILLFULLY VIOLATES THE RULES CONCERNING  OPERATIONS IN THIS AIRSPACE MAY BE SUBJECT TO CERTAIN CRIMINAL  PENALTIES UNDER 49 USC 46307.  PILOTS WHO DO NOT ADHERE TO THE  FOLLOWING PROCEDURES MAY BE INTERCEPTED, DETAINED AND INTERVIEWED  BY LAW ENFORCEMENT/SECURITY PERSONNEL.    PURSUANT TO TITLE 14 CFR SECTION 99.7, SPECIAL SECURITY  INSTRUCTIONS, ALL AIRCRAFT FLIGHT OPERATIONS ARE PROHIBITED WITHIN  AN AREA DEFINED AS 313416N1101130W TO 313414N1103014W THEN  CLOCKWISE ON A 8 NM ARC CENTERED ON 313415N1102052W  TO THE POINT  OF ORIGIN 9000FT MSL-17999FT MSL   EFFECTIVE 1709250215 UTC (1915 LOCAL 09/24/17) UNTIL 1709250700 UTC  (0000 LOCAL 09/25/17).      1709250215-1709250700 END PART 1 OF 2     !FDC 7/6669 ZAB PART 2 OF 2 AZ..AIRSPACE LIBBY AAF, AZ..TEMPORARY  FLIGHT  EXCEPT AS SPECIFIED BELOW AND/OR UNLESS AUTHORIZED BY ATC:    1. ALL AIRCRAFT ENTERING OR EXITING THE TFR MUST       BE ON A DISCRETE CODE ASSIGNED BY AN AIR TRAFFIC       CONTROL (ATC) FACILITY.    2. AIRCRAFT MUST BE SQUAWKING THE DISCRETE CODE AT       ALL TIMES WHILE IN THE TFR.    3. ALL AIRCRAFT ENTERING OR EXITING THE TFR MUST       REMAIN IN TWO-WAY RADIO COMMUNICATIONS WITH ATC.    4. ALBUQUERQUE ARTCC, TELEPHONE 505-856-4500, IS       THE FAA COORDINATION FACILITY.   1709250215-1709250700 END PART 2 OF 2"
"d77b8f85-ee55-47dc-b873-ceb8668b243f","7_6667",2017092020,2017092413,"SECURITY","99.7","ZAB","Libby AAF","AZ",,"MST","2017-09-19T16:31:00","2017-09-24T02:15:00","2017-09-24T12:10:00","Libby AAF, AZ, Saturday, September 23, 2017 Local",,"!FDC 7/6667 ZAB PART 1 OF 2 AZ..AIRSPACE LIBBY AAF, AZ..TEMPORARY  FLIGHT RESTRICTIONS.         SEPTEMBER 23-24, 2017 LOCAL.  PURSUANT TO 49 USC 40103(B),  THE FEDERAL AVIATION ADMINISTRATION (FAA) CLASSIFIES THE AIRSPACE  DEFINED IN THIS NOTAM AS 'NATIONAL DEFENSE AIRSPACE'. ANY PERSON  WHO KNOWINGLY OR WILLFULLY VIOLATES THE RULES CONCERNING  OPERATIONS IN THIS AIRSPACE MAY BE SUBJECT TO CERTAIN CRIMINAL  PENALTIES UNDER 49 USC 46307.  PILOTS WHO DO NOT ADHERE TO THE  FOLLOWING PROCEDURES MAY BE INTERCEPTED, DETAINED AND INTERVIEWED  BY LAW ENFORCEMENT/SECURITY PERSONNEL.    PURSUANT TO TITLE 14 CFR SECTION 99.7, SPECIAL SECURITY  INSTRUCTIONS, ALL AIRCRAFT FLIGHT OPERATIONS ARE PROHIBITED WITHIN  AN AREA DEFINED AS 313416N1101130W TO 313414N1103014W THEN  CLOCKWISE ON A 8 NM ARC CENTERED ON 313415N1102052W  TO THE POINT  OF ORIGIN 9000FT MSL-17999FT MSL   EFFECTIVE 1709240215 UTC (1915 LOCAL 09/23/17) UNTIL 1709241210 UTC  (0510 LOCAL 09/24/17).      1709240215-1709241210 END PART 1 OF 2     !FDC 7/6667 ZAB PART 2 OF 2 AZ..AIRSPACE LIBBY AAF, AZ..TEMPORARY  FLIGHT  EXCEPT AS SPECIFIED BELOW AND/OR UNLESS AUTHORIZED BY ATC:    1. ALL AIRCRAFT ENTERING OR EXITING THE TFR MUST       BE ON A DISCRETE CODE ASSIGNED BY AN AIR TRAFFIC       CONTROL (ATC) FACILITY.    2. AIRCRAFT MUST BE SQUAWKING THE DISCRETE CODE AT       ALL TIMES WHILE IN THE TFR.    3. ALL AIRCRAFT ENTERING OR EXITING THE TFR MUST       REMAIN IN TWO-WAY RADIO COMMUNICATIONS WITH ATC.    4. ALBUQUERQUE ARTCC, TELEPHONE 505-856-4500, IS       THE FAA COORDINATION FACILITY.   1709240215-1709241210 END PART 2 OF 2"
